Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10092","","","None","alexanderfleming.com.br","tcp","21","FTP Server Detection","An FTP server is listening on a remote port.","It is possible to obtain the banner of the remote FTP server by
connecting to a remote port.","n/a","","
The remote FTP banner is :

220 ProFTPD Server (ProFTPD) [177.101.149.31]
"
"10107","","","None","alexanderfleming.com.br","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

nginx"
"10267","","","None","alexanderfleming.com.br","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_6.6.1
SSH supported authentication : publickey,gssapi-keyex,gssapi-with-mic,password
"
"10287","","","None","alexanderfleming.com.br","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.0.19 to 177.101.149.31 : 
192.168.0.19
192.168.0.1
10.18.0.1
189.7.72.11
200.174.147.109
200.244.213.103
200.244.214.0
200.230.243.58
200.230.243.8
200.211.219.70
200.186.64.174
177.126.190.206
201.150.95.131
?
177.101.149.31

Hop Count: 14
"
"10863","","","None","alexanderfleming.com.br","tcp","21","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: tgdgcw.hospedagemweb.net

Issuer Name: 

Country: US
Organization: Let's Encrypt
Common Name: Let's Encrypt Authority X3

Serial Number: 03 E0 6F 91 78 A4 A9 B3 AE E0 23 EB 18 0F 80 7C 73 F4 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Sep 14 19:07:12 2018 GMT
Not Valid After: Dec 13 19:07:12 2018 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 B4 02 E8 03 25 F2 FB 9D 27 EE 4C A2 5D DD 97 69 AA D6 E1 
            06 97 84 58 01 DA 0F 9D BB ED 65 52 41 56 D0 6E 72 8C 16 4C 
            86 4C F8 5E 6A 4C 97 D4 1E A2 7E 37 9A 6C AD C3 95 79 AA 37 
            18 3D A8 F5 57 12 9B 68 74 A5 E9 5E 94 60 55 C5 EE EA 2D E0 
            36 B0 BE 8B 35 D0 B9 CD 10 0B 4F 60 A6 93 25 45 2E 78 59 2F 
            34 A8 A6 E0 E1 D1 7B 6A AC C4 F3 7B 80 CD AD 91 EF D9 97 9B 
            55 1E BF 52 35 8B 23 E0 D8 A1 B6 CD 37 C7 26 C2 47 CC B1 46 
            53 18 57 08 CD 74 92 6F 51 FB 7C A4 81 B6 B1 00 95 B6 2F F7 
            C9 DF EF D0 CF A6 42 F1 20 F0 FE E5 96 9B 6A 48 44 05 C7 D9 
            9A 0A 56 3B 33 1D 8D 7C 0E 35 DE 95 44 34 6D 14 86 2D 90 56 
            2B 2E D4 61 01 21 C6 07 AD D5 63 E9 8C 21 AE 16 50 EB 5B 11 
            6C 3B 2F CA 0C AC EA EC 61 36 1D 95 91 96 70 87 85 61 F8 D2 
            63 6A C5 CB D8 F5 98 7E 41 E5 C6 2E D3 F9 BF 5A 39 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 08 E3 65 88 F2 89 7C 0C 03 33 C2 92 32 EE 3F A5 DA 48 6A 
           55 A8 18 AC 03 FF 62 E5 2A 7B 18 92 B5 E9 BD 55 7A C7 61 2F 
           7B E8 F6 21 DA 57 24 33 13 56 48 42 70 D7 6E 0B A5 16 EA 00 
           AB 2B D6 27 55 7C 2E C7 C9 15 D8 01 71 6E EB 77 E1 6D F4 08 
           D6 5D 88 94 81 CF 86 04 6E 61 4F 79 31 E5 8A 21 B8 1E 8C B9 
           A8 9F B7 13 10 46 6B 88 CD EF 39 4F 19 3B CA DB 43 E0 10 98 
           C8 71 45 92 E4 EA 56 F3 A0 37 D6 C9 A3 E4 0F 0E 49 34 3F 34 
           EA 60 78 76 30 6D 9C 06 DA 29 A7 15 2E F5 CA 2E F5 2D 69 40 
           BE D0 3D 9E 1F 3C 2A 8F 1C 99 02 ED 78 1D 55 BE FB 9C 06 18 
           BD 79 9F 87 74 D6 61 07 4E 91 89 6C 99 1D 83 85 75 56 DE 5D 
           F7 FD 85 D6 36 1E EB 39 E4 83 89 42 5D F7 31 75 29 68 07 0C 
           14 AA 9D DE 76 CF EA 77 1C 31 B5 74 75 23 FA 20 FE 69 43 25 
           92 39 DD E5 E8 35 EC B1 F8 AA FE E6 51 04 28 B6 8B 

Extension: Key Usage (2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Key Encipherment


Extension: Extended Key Usage (2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)
Purpose#2: Web Client Authentication (1.3.6.1.5.5.7.3.2)


Extension: Basic Constraints (2.5.29.19)
Critical: 1


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: 90 E9 C3 47 D4 B3 82 6D 9F 24 C2 45 4F 12 24 F2 9F 5F 7C 4D 


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: A8 4A 6A 63 04 7D DD BA E6 D1 39 B7 A6 45 65 EF F3 A8 EC A1 


Extension: Authority Information Access (1.3.6.1.5.5.7.1.1)
Critical: 0
Method#1: Online Certificate Status Protocol
URI: http://ocsp.int-x3.letsencrypt.org
Method#2: Certificate Authority Issuers
URI: http://cert.int-x3.letsencrypt.org/


Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: tgdgcw.hospedagemweb.net


Extension: Policies (2.5.29.32)
Critical: 0
Policy ID #1: 2.23.140.1.2.1
Policy ID #2: 1.3.6.1.4.1.44947.1.1.1
Qualifier ID #2: Certification Practice Statement (1.3.6.1.5.5.7.2.1)
CPS URI: http://cps.letsencrypt.org


Extension: 1.3.6.1.4.1.11129.2.4.2
Critical: 0
Data: 04 81 F3 00 F1 00 77 00 6F 53 76 AC 31 F0 31 19 D8 99 00 A4 
      51 15 FF 77 15 1C 11 D9 02 C1 00 29 06 8D B2 08 9A 37 D9 13 
      00 00 01 65 D9 B1 CA 77 00 00 04 03 00 48 30 46 02 21 00 87 
      06 24 91 AB F2 84 03 FA C7 19 0E 71 21 3F BA BB 65 14 8E 93 
      FA 2A 1C 57 C9 1E DF C2 E9 EC 4F 02 21 00 D8 66 AA DE E6 01 
      DB 75 D7 A4 D6 61 6C 71 FC 18 A7 19 0F F6 6E 58 49 91 33 9C 
      5C B0 CF 4C CE 1B 00 76 00 29 3C 51 96 54 C8 39 65 BA AA 50 
      FC 58 07 D4 B7 6F BF 58 7A 29 72 DC A4 C3 0C F4 E5 45 47 F4 
      78 00 00 01 65 D9 B1 CC 36 00 00 04 03 00 47 30 45 02 21 00 
      B4 86 1C 66 66 BB 66 9F A2 29 B3 6A 26 7C 9B 2D 42 80 46 07 
      BC 06 CC ED 18 15 40 D2 FE 50 34 64 02 20 01 87 6B 18 A9 3B 
      1F 99 E7 BC 02 B9 A8 FD 1A 2D 83 F9 DC FC 12 5F E8 90 6B 3A 
      E0 6B 95 42 21 5C 


Fingerprints : 

SHA-256 Fingerprint: 75 BD 2E D2 39 77 3A 27 94 5D 86 57 6B 8F F5 D6 BB F0 89 5A 
                     31 A4 5B 61 43 CC 13 EF 7B EA 4E 52 
SHA-1 Fingerprint: 1C D7 39 6E E2 B3 18 24 F0 BA C3 D3 C1 D1 E8 7E 09 76 1C 3E 
MD5 Fingerprint: 26 16 F7 B7 36 05 47 AB 1C 99 69 DC CC B7 C3 0C 

"
"10881","","","None","alexanderfleming.com.br","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
"
"11032","","","None","alexanderfleming.com.br","tcp","80","Web Server Directory Enumeration","It is possible to enumerate directories on the web server.","This plugin attempts to determine the presence of various common
directories on the remote web server.  By sending a request for a
directory, the web server response code indicates if it is a valid
directory or not.","n/a","http://projects.webappsec.org/Predictable-Resource-Location","
The following directories were discovered:
/backup, /cgi-bin, /cgi-local, /downloads, /tmp, /Templates, /_notes, /css, /icons, /moodle

While this is not, in and of itself, a bug, you should manually inspect 
these directories to ensure that they are in compliance with company
security standards
"
"11219","","","None","alexanderfleming.com.br","tcp","21","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 21/tcp was found to be open"
"11219","","","None","alexanderfleming.com.br","tcp","443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 443/tcp was found to be open"
"11219","","","None","alexanderfleming.com.br","tcp","80","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 80/tcp was found to be open"
